RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000101,文理類,0,,0,,0,,0,,0,,27,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000102,外語類,0,,0,,0,,0,,0,,10,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000103,法政類,0,,0,,0,,0,,0,,5,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000201,電機、汽車 修護、建築、工藝、製圖類,0,,0,,0,,0,,0,,3,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000202,資訊類,0,,0,,0,,0,,0,,2,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000203,家政、插花、烹飪類,0,,0,,0,,0,,0,,0,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000204,縫紉類,0,,0,,0,,0,,0,,1,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000205,美容、美髮理髮類,0,,0,,0,,0,,0,,3,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000206,音樂、舞蹈類,0,,0,,0,,0,,0,,7,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000207,美術、書法、攝影、美工設計、圍棋類,0,,0,,0,,0,,0,,1,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000208,商類:珠算、心算、會計,0,,0,,0,,0,,0,,2,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000209,瑜珈類,0,,0,,0,,0,,0,,0,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000210,速讀類,0,,0,,0,,0,,0,,0,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
10490-05-01-2,臺中市各類短期補習班家數統計,1049005a003,各類短期補習班家數統計-家數(單位:家),2018/1/1 上午 12:00:00,010000066000010,臺中市中區,Y,年,230560000212,其他類,0,,0,,0,,0,,0,,2,,387040000E,教育局,2019/2/13 上午 10:43:13,2019/2/18 上午 09:17:51
