縣市,行政區別,文理類合計,技藝類合計,總計,區人口數
新北市,烏來區,,,,6327
新北市,三峽區,71,33,104,115443
新北市,坪林區,,,,6547
新北市,雙溪區,2,0,2,8079
新北市,石碇區,,,,7262
新北市,新店區,96,66,162,300178
新北市,貢寮區,2,0,2,11211
新北市,平溪區,,,,4253
新北市,汐止區,83,34,117,207004
新北市,瑞芳區,5,3,8,37607
新北市,淡水區,99,33,132,189271
新北市,三芝區,8,3,11,22190
新北市,萬里區,1,1,2,21047
新北市,林口區,92,34,126,128929
新北市,石門區,,,,10923
新北市,金山區,8,3,11,20546
新北市,八里區,20,3,23,41032
新北市,五股區,31,12,43,91719
新北市,樹林區,94,31,125,180272
新北市,土城區,100,53,153,238250
新北市,板橋區,320,159,479,551221
新北市,鶯歌區,33,15,48,88527
新北市,深坑區,13,1,14,23631
新北市,中和區,138,51,189,404341
新北市,新莊區,275,93,368,421248
新北市,泰山區,48,12,60,77169
新北市,三重區,191,79,270,380699
新北市,蘆洲區,136,37,173,200092
新北市,永和區,133,71,204,213227
