Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,總計,-,-,-,9700,5165817.000
女,總計,-,-,-,9700,2489507.000
男,總計,-,-,-,9700,2676310.000
女,幼兒園,-,-,-,9700,88412.000
男,幼兒園,-,-,-,9700,97256.000
總計,幼兒園,-,-,-,9700,185668.000
女,國中小,-,-,-,9700,1259418.000
男,國中小,-,-,-,9700,1369997.000
總計,國中小,-,-,-,9700,2629415.000
女,國小,-,-,-,9700,802317.000
男,國小,-,-,-,9700,875122.000
總計,國小,-,-,-,9700,1677439.000
女,國中,-,-,-,9700,457101.000
男,國中,-,-,-,9700,494875.000
總計,國中,-,-,-,9700,951976.000
女,高級中等學校,-,-,-,9700,355096.000
男,高級中等學校,-,-,-,9700,397783.000
總計,高級中等學校,-,-,-,9700,752879.000
總計,高中,-,-,-,9700,406316.000
女,高中,-,-,-,9700,202360.000
男,高中,-,-,-,9700,203956.000
總計,高職,-,-,-,9700,346563.000
女,高職,-,-,-,9700,152736.000
男,高職,-,-,-,9700,193827.000
女,大專校院,-,-,-,9700,654341.000
男,大專校院,-,-,-,9700,683114.000
總計,大專校院,-,-,-,9700,1337455.000
女,特教學校,-,-,-,9700,2710.000
男,特教學校,-,-,-,9700,4165.000
總計,特教學校,-,-,-,9700,6875.000
女,空大、補校及進修學校,-,-,-,9700,129530.000
男,空大、補校及進修學校,-,-,-,9700,123995.000
總計,空大、補校及進修學校,-,-,-,9700,253525.000
總計,空大、補校及進修學校,-,-,-,9800,240386.000
男,空大、補校及進修學校,-,-,-,9800,118426.000
女,空大、補校及進修學校,-,-,-,9800,121960.000
總計,特教學校,-,-,-,9800,7145.000
男,特教學校,-,-,-,9800,4339.000
女,特教學校,-,-,-,9800,2806.000
總計,大專校院,-,-,-,9800,1336659.000
男,大專校院,-,-,-,9800,680038.000
女,大專校院,-,-,-,9800,656621.000
男,高職,-,-,-,9800,197745.000
女,高職,-,-,-,9800,156863.000
總計,高職,-,-,-,9800,354608.000
男,高中,-,-,-,9800,202728.000
女,高中,-,-,-,9800,200455.000
總計,高中,-,-,-,9800,403183.000
總計,高級中等學校,-,-,-,9800,757791.000
男,高級中等學校,-,-,-,9800,400473.000
女,高級中等學校,-,-,-,9800,357318.000
總計,國中,-,-,-,9800,948534.000
男,國中,-,-,-,9800,493111.000
女,國中,-,-,-,9800,455423.000
總計,國小,-,-,-,9800,1593398.000
男,國小,-,-,-,9800,831989.000
女,國小,-,-,-,9800,761409.000
總計,國中小,-,-,-,9800,2541932.000
男,國中小,-,-,-,9800,1325100.000
女,國中小,-,-,-,9800,1216832.000
總計,幼兒園,-,-,-,9800,182049.000
男,幼兒園,-,-,-,9800,95704.000
女,幼兒園,-,-,-,9800,86345.000
男,總計,-,-,-,9800,2624080.000
女,總計,-,-,-,9800,2441882.000
總計,總計,-,-,-,9800,5065962.000
總計,總計,-,-,-,9900,4965690.000
女,總計,-,-,-,9900,2394478.000
男,總計,-,-,-,9900,2571212.000
女,幼兒園,-,-,-,9900,87446.000
男,幼兒園,-,-,-,9900,96455.000
總計,幼兒園,-,-,-,9900,183901.000
女,國中小,-,-,-,9900,1166028.000
男,國中小,-,-,-,9900,1273520.000
女,國小,-,-,-,9900,725094.000
總計,國中小,-,-,-,9900,2439548.000
男,國小,-,-,-,9900,794652.000
總計,國小,-,-,-,9900,1519746.000
女,國中,-,-,-,9900,440934.000
男,國中,-,-,-,9900,478868.000
總計,國中,-,-,-,9900,919802.000
女,高級中等學校,-,-,-,9900,360814.000
男,高級中等學校,-,-,-,9900,402342.000
總計,高中,-,-,-,9900,400642.000
總計,高級中等學校,-,-,-,9900,763156.000
女,高中,-,-,-,9900,199724.000
男,高中,-,-,-,9900,200918.000
總計,高職,-,-,-,9900,362514.000
女,高職,-,-,-,9900,161090.000
男,高職,-,-,-,9900,201424.000
女,大專校院,-,-,-,9900,662549.000
男,大專校院,-,-,-,9900,681054.000
總計,大專校院,-,-,-,9900,1343603.000
女,宗教研修學院,-,-,-,9900,86.000
男,宗教研修學院,-,-,-,9900,34.000
總計,宗教研修學院,-,-,-,9900,120.000
女,特教學校,-,-,-,9900,2786.000
男,特教學校,-,-,-,9900,4220.000
總計,特教學校,-,-,-,9900,7006.000
女,空大、補校及進修學校,-,-,-,9900,114769.000
男,空大、補校及進修學校,-,-,-,9900,113587.000
總計,空大、補校及進修學校,-,-,-,9900,228356.000
總計,空大、補校及進修學校,-,-,-,10000,212354.000
男,空大、補校及進修學校,-,-,-,10000,106406.000
女,空大、補校及進修學校,-,-,-,10000,105948.000
總計,特教學校,-,-,-,10000,7014.000
男,特教學校,-,-,-,10000,4232.000
女,特教學校,-,-,-,10000,2782.000
總計,宗教研修學院,-,-,-,10000,141.000
男,宗教研修學院,-,-,-,10000,45.000
女,宗教研修學院,-,-,-,10000,96.000
總計,大專校院,-,-,-,10000,1352084.000
男,大專校院,-,-,-,10000,683367.000
女,大專校院,-,-,-,10000,668717.000
男,高職,-,-,-,10000,203473.000
女,高職,-,-,-,10000,162976.000
總計,高職,-,-,-,10000,366449.000
男,高中,-,-,-,10000,201704.000
女,高中,-,-,-,10000,200254.000
總計,高級中等學校,-,-,-,10000,768407.000
總計,高中,-,-,-,10000,401958.000
男,高級中等學校,-,-,-,10000,405177.000
女,高級中等學校,-,-,-,10000,363230.000
總計,國中,-,-,-,10000,873226.000
男,國中,-,-,-,10000,454815.000
女,國中,-,-,-,10000,418411.000
總計,國小,-,-,-,10000,1457004.000
男,國小,-,-,-,10000,762016.000
總計,國中小,-,-,-,10000,2330230.000
女,國小,-,-,-,10000,694988.000
男,國中小,-,-,-,10000,1216831.000
女,國中小,-,-,-,10000,1113399.000
總計,幼兒園,-,-,-,10000,189792.000
男,幼兒園,-,-,-,10000,99605.000
女,幼兒園,-,-,-,10000,90187.000
男,總計,-,-,-,10000,2515663.000
女,總計,-,-,-,10000,2344359.000
總計,總計,-,-,-,10000,4860022.000
總計,總計,-,-,-,10100,5007275.000
女,總計,-,-,-,10100,2413251.000
男,總計,-,-,-,10100,2594024.000
總計,幼兒園,-,-,-,10100,459653.000
女,幼兒園,-,-,-,10100,217573.000
男,幼兒園,-,-,-,10100,242080.000
男,國中小,-,-,-,10100,1159226.000
女,國中小,-,-,-,10100,1059024.000
女,國小,-,-,-,10100,654851.000
總計,國中小,-,-,-,10100,2218250.000
男,國小,-,-,-,10100,718515.000
總計,國小,-,-,-,10100,1373366.000
總計,國中,-,-,-,10100,844884.000
女,國中,-,-,-,10100,404173.000
男,國中,-,-,-,10100,440711.000
女,高級中等學校,-,-,-,10100,364807.000
男,高級中等學校,-,-,-,10100,407318.000
總計,高中,-,-,-,10100,402689.000
總計,高級中等學校,-,-,-,10100,772125.000
女,高中,-,-,-,10100,200663.000
男,高中,-,-,-,10100,202026.000
總計,高職,-,-,-,10100,369436.000
女,高職,-,-,-,10100,164144.000
男,高職,-,-,-,10100,205292.000
女,大專校院,-,-,-,10100,671844.000
男,大專校院,-,-,-,10100,683446.000
總計,大專校院,-,-,-,10100,1355290.000
女,宗教研修學院,-,-,-,10100,136.000
男,宗教研修學院,-,-,-,10100,64.000
總計,宗教研修學院,-,-,-,10100,200.000
女,特教學校,-,-,-,10100,2739.000
總計,特教學校,-,-,-,10100,6885.000
男,特教學校,-,-,-,10100,4146.000
男,空大、補校及進修學校,-,-,-,10100,97744.000
女,空大、補校及進修學校,-,-,-,10100,97128.000
總計,空大、補校及進修學校,-,-,-,10100,194872.000
總計,空大、補校及進修學校,-,-,-,10200,175838.000
女,空大、補校及進修學校,-,-,-,10200,88284.000
男,空大、補校及進修學校,-,-,-,10200,87554.000
男,特教學校,-,-,-,10200,4169.000
總計,特教學校,-,-,-,10200,6746.000
女,特教學校,-,-,-,10200,2577.000
總計,宗教研修學院,-,-,-,10200,248.000
男,宗教研修學院,-,-,-,10200,87.000
女,宗教研修學院,-,-,-,10200,161.000
